$ hadoop MaxTemperature file:///home/ec2-user/ncdc_data file:///home/ec2-user/output
16/10/11 12:00:23 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/10/11 12:00:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/10/11 12:00:24 INFO input.FileInputFormat: Total input paths to process : 100
16/10/11 12:00:24 INFO mapreduce.JobSubmitter: number of splits:100
16/10/11 12:00:25 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1476166374694_0002
16/10/11 12:00:25 INFO impl.YarnClientImpl: Submitted application application_1476166374694_0002
16/10/11 12:00:25 INFO mapreduce.Job: The url to track the job: http://ip-10-0-1-201:8088/proxy/application_1476166374694_0002/
16/10/11 12:00:25 INFO mapreduce.Job: Running job: job_1476166374694_0002
16/10/11 12:00:32 INFO mapreduce.Job: Job job_1476166374694_0002 running in uber mode : false
16/10/11 12:00:32 INFO mapreduce.Job:  map 0% reduce 0%
16/10/11 12:01:24 INFO mapreduce.Job:  map 1% reduce 0%
16/10/11 12:02:39 INFO mapreduce.Job:  map 2% reduce 0%
16/10/11 12:03:45 INFO mapreduce.Job:  map 3% reduce 0%
16/10/11 12:04:52 INFO mapreduce.Job:  map 4% reduce 0%
16/10/11 12:05:37 INFO mapreduce.Job:  map 5% reduce 0%
16/10/11 12:06:22 INFO mapreduce.Job:  map 6% reduce 0%
16/10/11 12:07:19 INFO mapreduce.Job:  map 7% reduce 0%
16/10/11 12:08:22 INFO mapreduce.Job:  map 8% reduce 0%
16/10/11 12:09:21 INFO mapreduce.Job:  map 9% reduce 0%
16/10/11 12:10:19 INFO mapreduce.Job:  map 10% reduce 0%
16/10/11 12:10:59 INFO mapreduce.Job:  map 11% reduce 0%
16/10/11 12:11:37 INFO mapreduce.Job:  map 12% reduce 0%
16/10/11 12:12:30 INFO mapreduce.Job:  map 13% reduce 0%
16/10/11 12:13:28 INFO mapreduce.Job:  map 14% reduce 0%
16/10/11 12:14:19 INFO mapreduce.Job:  map 15% reduce 0%
16/10/11 12:15:10 INFO mapreduce.Job:  map 16% reduce 0%
16/10/11 12:15:44 INFO mapreduce.Job:  map 17% reduce 0%
16/10/11 12:16:13 INFO mapreduce.Job:  map 18% reduce 0%
16/10/11 12:16:57 INFO mapreduce.Job:  map 19% reduce 0%
16/10/11 12:17:15 INFO mapreduce.Job:  map 19% reduce 1%
16/10/11 12:17:33 INFO mapreduce.Job:  map 19% reduce 2%
16/10/11 12:17:48 INFO mapreduce.Job:  map 19% reduce 3%
16/10/11 12:18:00 INFO mapreduce.Job:  map 19% reduce 4%
16/10/11 12:18:09 INFO mapreduce.Job:  map 19% reduce 5%
16/10/11 12:18:15 INFO mapreduce.Job:  map 19% reduce 6%
16/10/11 12:18:44 INFO mapreduce.Job:  map 20% reduce 6%
16/10/11 12:19:29 INFO mapreduce.Job:  map 21% reduce 6%
16/10/11 12:20:10 INFO mapreduce.Job:  map 22% reduce 6%
16/10/11 12:20:31 INFO mapreduce.Job:  map 23% reduce 6%
16/10/11 12:20:38 INFO mapreduce.Job:  map 23% reduce 7%
16/10/11 12:20:47 INFO mapreduce.Job:  map 23% reduce 8%
16/10/11 12:21:30 INFO mapreduce.Job:  map 24% reduce 8%
16/10/11 12:22:33 INFO mapreduce.Job:  map 25% reduce 8%
16/10/11 12:23:21 INFO mapreduce.Job:  map 26% reduce 8%
16/10/11 12:24:07 INFO mapreduce.Job:  map 27% reduce 8%
16/10/11 12:24:31 INFO mapreduce.Job:  map 28% reduce 8%
16/10/11 12:24:44 INFO mapreduce.Job:  map 28% reduce 9%
16/10/11 12:25:08 INFO mapreduce.Job:  map 29% reduce 9%
16/10/11 12:25:34 INFO mapreduce.Job:  map 30% reduce 9%
16/10/11 12:25:58 INFO mapreduce.Job:  map 31% reduce 9%
